"id_khach_san","ten_khach_san","tien_nghi","khoan_cach_toi_bien","gan_bien","gia_phong_thap_nhat"
"41144e4f-c4c2-4b55-af96-3ee0c5bd1e21",Florence Hotel,Quầy bar,2310,false,620000.00
"41144e4f-c4c2-4b55-af96-3ee0c5bd1e21",Florence Hotel,Có xuất hóa đơn,2310,false,620000.00
"41144e4f-c4c2-4b55-af96-3ee0c5bd1e21",Florence Hotel,Rượu vang/sâm panh,2310,false,620000.00
"41144e4f-c4c2-4b55-af96-3ee0c5bd1e21",Florence Hotel,Nhà hàng,2310,false,620000.00
"41144e4f-c4c2-4b55-af96-3ee0c5bd1e21",Florence Hotel,Bình chữa cháy,2310,false,620000.00
"71a0de29-fee6-4baa-a997-49495c123a06",GOLD Hotel,Dịch vụ đỗ xe cho khách,1432,true,850000.00
"71a0de29-fee6-4baa-a997-49495c123a06",GOLD Hotel,Dọn phòng hằng ngày,1432,true,850000.00
"71a0de29-fee6-4baa-a997-49495c123a06",GOLD Hotel,Wi-Fi có ở các phòng khách sạn và miễn phí,1432,true,850000.00
"71a0de29-fee6-4baa-a997-49495c123a06",GOLD Hotel,Nhận/trả phòng cấp tốc,1432,true,850000.00
"71a0de29-fee6-4baa-a997-49495c123a06",GOLD Hotel,Giữ hành lí,1432,true,850000.00
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,Nhận/trả phòng riêng,2979,false,520000.00
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,Giặt ủi,2979,false,520000.00
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,Dọn phòng hằng ngày,2979,false,520000.00
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,Giữ hành lí,2979,false,520000.00
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,Lễ tân 24 giờ,2979,false,520000.00
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,Hồ bơi có tầm nhìn,2322,false,1800000.00
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,Hồ bơi vô cực,2322,false,1800000.00
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,Mái che hồ bơi,2322,false,1800000.00
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,Ghế/ghế dài tắm nắng,2322,false,1800000.00
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,Khăn hồ bơi/bãi biển,2322,false,1800000.00
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,Sân thượng / hiên,1587,true,950000.00
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,Khăn hồ bơi/bãi biển,1587,true,950000.00
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,Lễ tân 24 giờ,1587,true,950000.00
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,Thu đổi ngoại tệ,1587,true,950000.00
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,Bàn bán tour,1587,true,950000.00
"3141d154-37e0-4483-a4d9-1eb6cb4f8ca5",Hoàng Anh Apartment,Thiết bị báo cháy,1667,true,520000.00
"3141d154-37e0-4483-a4d9-1eb6cb4f8ca5",Hoàng Anh Apartment,Nhận/trả phòng riêng,1667,true,520000.00
"3141d154-37e0-4483-a4d9-1eb6cb4f8ca5",Hoàng Anh Apartment,Tủ khóa,1667,true,520000.00
"3141d154-37e0-4483-a4d9-1eb6cb4f8ca5",Hoàng Anh Apartment,Quầy bar đồ ăn nhẹ,1667,true,520000.00
"3141d154-37e0-4483-a4d9-1eb6cb4f8ca5",Hoàng Anh Apartment,Bình chữa cháy,1667,true,520000.00
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,Quầy bar đồ ăn nhẹ,4135,false,720000.00
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,Bàn bán tour,4135,false,720000.00
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,Hệ thống CCTV trong khu vực chung,4135,false,720000.00
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,Bảo vệ 24/7,4135,false,720000.00
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,Thu đổi ngoại tệ,4135,false,720000.00
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,Ghế/ghế dài tắm nắng,3387,false,420000.00
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,Mái che hồ bơi,3387,false,420000.00
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,Hồ bơi có tầm nhìn,3387,false,420000.00
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,Wi-Fi có ở các phòng khách sạn và miễn phí,3387,false,420000.00
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,Dọn phòng hằng ngày,3387,false,420000.00
"6d9f710d-cae4-41fb-8c1f-d28adf4d714c",Homestay Xì Trum,Lớp dạy nấu ăn,4006,false,520000.00
"6d9f710d-cae4-41fb-8c1f-d28adf4d714c",Homestay Xì Trum,Lễ tân 24 giờ,4006,false,520000.00
"6d9f710d-cae4-41fb-8c1f-d28adf4d714c",Homestay Xì Trum,Tour đi bộ,4006,false,520000.00
"6d9f710d-cae4-41fb-8c1f-d28adf4d714c",Homestay Xì Trum,Hồ bơi trên sân thượng,4006,false,520000.00
"6d9f710d-cae4-41fb-8c1f-d28adf4d714c",Homestay Xì Trum,Bữa ăn trẻ em,4006,false,520000.00
"13ea6f7f-5dd9-411d-a837-6eda6ed28c38",Hồng Phúc 7 Hotel,Nhận/trả phòng riêng,1811,true,650000.00
"13ea6f7f-5dd9-411d-a837-6eda6ed28c38",Hồng Phúc 7 Hotel,Thu đổi ngoại tệ,1811,true,650000.00
"13ea6f7f-5dd9-411d-a837-6eda6ed28c38",Hồng Phúc 7 Hotel,Máy ATM/rút tiền trong khuôn viên,1811,true,650000.00
"13ea6f7f-5dd9-411d-a837-6eda6ed28c38",Hồng Phúc 7 Hotel,Bữa ăn trẻ em,1811,true,650000.00
"13ea6f7f-5dd9-411d-a837-6eda6ed28c38",Hồng Phúc 7 Hotel,Nhà hàng,1811,true,650000.00
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,Mái che hồ bơi,2008,false,850000.00
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,Nhà hàng,2008,false,850000.00
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,Khăn hồ bơi/bãi biển,2008,false,850000.00
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,Bãi biển,2008,false,850000.00
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,Hồ bơi có tầm nhìn,2008,false,850000.00
"3109305f-fc3a-4dec-8e50-a49ecd421773",Kay Han Riverfront Hotel Da Nang,Bàn ghế ngoài trời,1750,true,650000.00
"3109305f-fc3a-4dec-8e50-a49ecd421773",Kay Han Riverfront Hotel Da Nang,Giặt ủi,1750,true,650000.00
"3109305f-fc3a-4dec-8e50-a49ecd421773",Kay Han Riverfront Hotel Da Nang,Nhà hàng,1750,true,650000.00
"3109305f-fc3a-4dec-8e50-a49ecd421773",Kay Han Riverfront Hotel Da Nang,Bãi biển,1750,true,650000.00
"3109305f-fc3a-4dec-8e50-a49ecd421773",Kay Han Riverfront Hotel Da Nang,Sân thượng / hiên,1750,true,650000.00
"87750286-5cc0-46db-8f10-b283f56f2d28",KOI Resort & Residence Da Nang - Inclusive Spa access,Bàn ghế ngoài trời,1132,true,850000.00
"87750286-5cc0-46db-8f10-b283f56f2d28",KOI Resort & Residence Da Nang - Inclusive Spa access,Bãi biển,1132,true,850000.00
"87750286-5cc0-46db-8f10-b283f56f2d28",KOI Resort & Residence Da Nang - Inclusive Spa access,Quầy bar,1132,true,850000.00
"87750286-5cc0-46db-8f10-b283f56f2d28",KOI Resort & Residence Da Nang - Inclusive Spa access,Nhà hàng,1132,true,850000.00
"87750286-5cc0-46db-8f10-b283f56f2d28",KOI Resort & Residence Da Nang - Inclusive Spa access,Hồ bơi vô cực,1132,true,850000.00
"30028880-86e6-4aff-ab1b-275603945397",LaBi Hotel n Apartment Danang,Giặt ủi,2097,false,680000.00
"30028880-86e6-4aff-ab1b-275603945397",LaBi Hotel n Apartment Danang,Trung tâm Spa & chăm sóc sức khỏe,2097,false,680000.00
"30028880-86e6-4aff-ab1b-275603945397",LaBi Hotel n Apartment Danang,Quầy bar hồ bơi,2097,false,680000.00
"30028880-86e6-4aff-ab1b-275603945397",LaBi Hotel n Apartment Danang,Bãi biển,2097,false,680000.00
"30028880-86e6-4aff-ab1b-275603945397",LaBi Hotel n Apartment Danang,Tủ khóa,2097,false,680000.00
"21075c92-984b-4cd0-93a2-786b37fe8181",Lac Lac Booking - Residences in Beach Resort,Ghế/ghế dài tắm nắng,2099,false,850000.00
"21075c92-984b-4cd0-93a2-786b37fe8181",Lac Lac Booking - Residences in Beach Resort,Wi-Fi có ở các phòng khách sạn và miễn phí,2099,false,850000.00
"21075c92-984b-4cd0-93a2-786b37fe8181",Lac Lac Booking - Residences in Beach Resort,Hồ bơi có tầm nhìn,2099,false,850000.00
"21075c92-984b-4cd0-93a2-786b37fe8181",Lac Lac Booking - Residences in Beach Resort,Bãi biển,2099,false,850000.00
"21075c92-984b-4cd0-93a2-786b37fe8181",Lac Lac Booking - Residences in Beach Resort,Sân hiên phơi nắng,2099,false,850000.00
"205879cf-c819-4516-adb7-ca75b037592b",Meliá Danang Beach Resort,Ghế/ghế dài tắm nắng,683,true,850000.00
"205879cf-c819-4516-adb7-ca75b037592b",Meliá Danang Beach Resort,Mở cửa quanh năm,683,true,850000.00
"205879cf-c819-4516-adb7-ca75b037592b",Meliá Danang Beach Resort,Dịch vụ là ủi,683,true,850000.00
"205879cf-c819-4516-adb7-ca75b037592b",Meliá Danang Beach Resort,Nhận/trả phòng riêng,683,true,850000.00
"205879cf-c819-4516-adb7-ca75b037592b",Meliá Danang Beach Resort,Lễ tân 24 giờ,683,true,850000.00
"9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e",Merry Hotel,Lớp dạy nấu ăn,1723,true,390000.00
"9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e",Merry Hotel,Giặt khô,1723,true,390000.00
"9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e",Merry Hotel,Báo động an ninh,1723,true,390000.00
"9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e",Merry Hotel,Hệ thống CCTV bên ngoài chỗ nghỉ,1723,true,390000.00
"9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e",Merry Hotel,Bữa ăn tự chọn phù hợp với trẻ em,1723,true,390000.00
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,Dịch vụ đỗ xe cho khách,3806,false,520000.00
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,Tủ khóa,3806,false,520000.00
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,Hệ thống CCTV bên ngoài chỗ nghỉ,3806,false,520000.00
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,Nhận/trả phòng cấp tốc,3806,false,520000.00
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,Bảo vệ 24/7,3806,false,520000.00
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,Sân thượng / hiên,2903,false,950000.00
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,Bãi biển,2903,false,950000.00
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,Tour đi bộ,2903,false,950000.00
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,Bàn ghế ngoài trời,2903,false,950000.00
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,Sân hiên phơi nắng,2903,false,950000.00
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,Dịch vụ là ủi,1387,true,850000.00
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,Bình chữa cháy,1387,true,850000.00
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,Wi-Fi có ở các phòng khách sạn và miễn phí,1387,true,850000.00
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,Cho thuê xe đạp,1387,true,850000.00
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,Dịch vụ đỗ xe cho khách,1387,true,850000.00
"7a9987b1-7c6e-4e33-885c-e6c142aa3b5e",Muong Thanh Grand Da Nang Hotel,Ghế/ghế dài tắm nắng,1373,true,1850000.00
"7a9987b1-7c6e-4e33-885c-e6c142aa3b5e",Muong Thanh Grand Da Nang Hotel,Lễ tân 24 giờ,1373,true,1850000.00
"7a9987b1-7c6e-4e33-885c-e6c142aa3b5e",Muong Thanh Grand Da Nang Hotel,Wi-Fi có ở các phòng khách sạn và miễn phí,1373,true,1850000.00
"7a9987b1-7c6e-4e33-885c-e6c142aa3b5e",Muong Thanh Grand Da Nang Hotel,Dọn phòng hằng ngày,1373,true,1850000.00
"7a9987b1-7c6e-4e33-885c-e6c142aa3b5e",Muong Thanh Grand Da Nang Hotel,Hồ bơi vô cực,1373,true,1850000.00
"71e4ec9a-5879-4373-8404-a4d5b4bbf5b7",Nhật Quang House 2,Giặt khô,2174,false,850000.00
"71e4ec9a-5879-4373-8404-a4d5b4bbf5b7",Nhật Quang House 2,Dịch vụ là ủi,2174,false,850000.00
"71e4ec9a-5879-4373-8404-a4d5b4bbf5b7",Nhật Quang House 2,Bình chữa cháy,2174,false,850000.00
"71e4ec9a-5879-4373-8404-a4d5b4bbf5b7",Nhật Quang House 2,Nhận/trả phòng riêng,2174,false,850000.00
"71e4ec9a-5879-4373-8404-a4d5b4bbf5b7",Nhật Quang House 2,Bữa ăn trẻ em,2174,false,850000.00
"5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93",Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,Dọn phòng hằng ngày,1721,true,750000.00
"5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93",Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,Bảo vệ 24/7,1721,true,750000.00
"5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93",Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,Giặt khô,1721,true,750000.00
"5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93",Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,Hệ thống CCTV trong khu vực chung,1721,true,750000.00
"5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93",Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,Giữ hành lí,1721,true,750000.00
"81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a",PARIS HOTEL,Dịch vụ đỗ xe cho khách,2199,false,850000.00
"81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a",PARIS HOTEL,Bàn bán tour,2199,false,850000.00
"81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a",PARIS HOTEL,Trung tâm Spa & chăm sóc sức khỏe,2199,false,850000.00
"81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a",PARIS HOTEL,Bảo vệ 24/7,2199,false,850000.00
"81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a",PARIS HOTEL,Wi-Fi có ở các phòng khách sạn và miễn phí,2199,false,850000.00
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,Lễ tân 24 giờ,1713,true,750000.00
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,Dịch vụ là ủi,1713,true,750000.00
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,Bình chữa cháy,1713,true,750000.00
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,Wi-Fi có ở các phòng khách sạn và miễn phí,1713,true,750000.00
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,Thiết bị báo cháy,1713,true,750000.00
"50bf14f8-8df2-4bd6-9701-4d61d92807ab",Sandy Beach Non Nuoc Resort,Bãi biển,633,true,850000.00
"50bf14f8-8df2-4bd6-9701-4d61d92807ab",Sandy Beach Non Nuoc Resort,Ghế/ghế dài tắm nắng,633,true,850000.00
"50bf14f8-8df2-4bd6-9701-4d61d92807ab",Sandy Beach Non Nuoc Resort,Lễ tân 24 giờ,633,true,850000.00
"50bf14f8-8df2-4bd6-9701-4d61d92807ab",Sandy Beach Non Nuoc Resort,Bữa ăn tự chọn phù hợp với trẻ em,633,true,850000.00
"50bf14f8-8df2-4bd6-9701-4d61d92807ab",Sandy Beach Non Nuoc Resort,Nhà hàng,633,true,850000.00
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,Quầy bar,2006,false,850000.00
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,Bãi biển,2006,false,850000.00
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,Hồ bơi có tầm nhìn,2006,false,850000.00
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,Trung tâm Spa & chăm sóc sức khỏe,2006,false,850000.00
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,Quầy bar hồ bơi,2006,false,850000.00
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,Bảo vệ 24/7,3047,false,650000.00
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,Wi-Fi có ở các phòng khách sạn và miễn phí,3047,false,650000.00
