id_khach_san,ten_khach_san,khoan_cach_toi_bien,gan_bien,gia_phong_thap_nhat,tien_nghi
221cc892-010a-42b5-9153-2cb81a3792fd,Dang's Hotel,1597,true,750000.00,Wi-Fi có ở các phòng khách sạn và miễn phí | Dịch vụ streaming như Netflix | Bàn ăn | Phòng tắm riêng | Ấm đun nước điện
03ad22fa-19d6-49db-825a-44dd5d620a5c,D&C Hotel,1553,true,390000.00,Bữa ăn tự chọn phù hợp với trẻ em | Lễ tân 24 giờ | Nhận/trả phòng cấp tốc | Bảo vệ 24/7 | Dịch vụ đỗ xe cho khách
3add70c8-8447-4a2e-9b1f-7f4b58496bf8,Duy Home,3026,false,470000.00,Phòng tắm nắng | Sân thượng / hiên | Bàn ghế ngoài trời | Bàn bán tour | Báo động an ninh
6f807f8f-3fbc-4fe7-94d9-598e2c460f1a,Eden Plaza Da Nang Hotel,3394,false,780000.00,Khăn hồ bơi/bãi biển | Hồ bơi trên sân thượng | Ô dù che nắng loại to | Nhà hàng | Ghế/ghế dài tắm nắng
41144e4f-c4c2-4b55-af96-3ee0c5bd1e21,Florence Hotel,2310,false,620000.00,Quầy bar | Có xuất hóa đơn | Rượu vang/sâm panh | Nhà hàng | Bình chữa cháy
71a0de29-fee6-4baa-a997-49495c123a06,GOLD Hotel,1432,true,850000.00,Dịch vụ đỗ xe cho khách | Dọn phòng hằng ngày | Wi-Fi có ở các phòng khách sạn và miễn phí | Nhận/trả phòng cấp tốc | Giữ hành lí
cbe6eb7c-a3dd-4f73-88c6-ac2852e23563,Grand Citiview Da Nang Hotel,2979,false,520000.00,Nhận/trả phòng riêng | Giặt ủi | Dọn phòng hằng ngày | Giữ hành lí | Lễ tân 24 giờ
c4c96453-4375-409d-8571-3fbafba56708,Grand Mercure Danang,2322,false,1800000.00,Hồ bơi có tầm nhìn | Hồ bơi vô cực | Mái che hồ bơi | Ghế/ghế dài tắm nắng | Khăn hồ bơi/bãi biển
afda1f36-64ed-4cd7-bd56-c40003ff5edf,Han Apartment,1587,true,950000.00,Sân thượng / hiên | Khăn hồ bơi/bãi biển | Lễ tân 24 giờ | Thu đổi ngoại tệ | Bàn bán tour
3141d154-37e0-4483-a4d9-1eb6cb4f8ca5,Hoàng Anh Apartment,1667,true,520000.00,Thiết bị báo cháy | Nhận/trả phòng riêng | Tủ khóa | Quầy bar đồ ăn nhẹ | Bình chữa cháy
da62627f-4823-4831-be37-479bd585be97,Hold Amanda Boutique Hotel,4135,false,720000.00,Quầy bar đồ ăn nhẹ | Bàn bán tour | Hệ thống CCTV trong khu vực chung | Bảo vệ 24/7 | Thu đổi ngoại tệ
cf4fa1ba-8402-4a44-be34-591812d91796,Home Cun,3387,false,420000.00,Ghế/ghế dài tắm nắng | Mái che hồ bơi | Hồ bơi có tầm nhìn | Wi-Fi có ở các phòng khách sạn và miễn phí | Dọn phòng hằng ngày
6d9f710d-cae4-41fb-8c1f-d28adf4d714c,Homestay Xì Trum,4006,false,520000.00,Lớp dạy nấu ăn | Lễ tân 24 giờ | Tour đi bộ | Hồ bơi trên sân thượng | Bữa ăn trẻ em
13ea6f7f-5dd9-411d-a837-6eda6ed28c38,Hồng Phúc 7 Hotel,1811,true,650000.00,Nhận/trả phòng riêng | Thu đổi ngoại tệ | Máy ATM/rút tiền trong khuôn viên | Bữa ăn trẻ em | Nhà hàng
e0368f4b-e67b-49ff-88f3-1fcf4acdf306,Hyatt Regency Danang Resort and Spa,2008,false,850000.00,Mái che hồ bơi | Nhà hàng | Khăn hồ bơi/bãi biển | Bãi biển | Hồ bơi có tầm nhìn
3109305f-fc3a-4dec-8e50-a49ecd421773,Kay Han Riverfront Hotel Da Nang,1750,true,650000.00,Bàn ghế ngoài trời | Giặt ủi | Nhà hàng | Bãi biển | Sân thượng / hiên
87750286-5cc0-46db-8f10-b283f56f2d28,KOI Resort & Residence Da Nang - Inclusive Spa access,1132,true,850000.00,Bàn ghế ngoài trời | Bãi biển | Quầy bar | Nhà hàng | Hồ bơi vô cực
30028880-86e6-4aff-ab1b-275603945397,LaBi Hotel n Apartment Danang,2097,false,680000.00,Giặt ủi | Trung tâm Spa & chăm sóc sức khỏe | Quầy bar hồ bơi | Bãi biển | Tủ khóa
21075c92-984b-4cd0-93a2-786b37fe8181,Lac Lac Booking - Residences in Beach Resort,2099,false,850000.00,Ghế/ghế dài tắm nắng | Wi-Fi có ở các phòng khách sạn và miễn phí | Hồ bơi có tầm nhìn | Bãi biển | Sân hiên phơi nắng
205879cf-c819-4516-adb7-ca75b037592b,Meliá Danang Beach Resort,683,true,850000.00,Ghế/ghế dài tắm nắng | Mở cửa quanh năm | Dịch vụ là ủi | Nhận/trả phòng riêng | Lễ tân 24 giờ
9e80168b-b2e8-40ae-bd3f-b6d0f7883c3e,Merry Hotel,1723,true,390000.00,Lớp dạy nấu ăn | Giặt khô | Báo động an ninh | Hệ thống CCTV bên ngoài chỗ nghỉ | Bữa ăn tự chọn phù hợp với trẻ em
df4b83fa-4cbe-4d1a-97bc-7b35ffd0260b,Minh Quan Hotel - Da Nang Center By HOS,3806,false,520000.00,Dịch vụ đỗ xe cho khách | Tủ khóa | Hệ thống CCTV bên ngoài chỗ nghỉ | Nhận/trả phòng cấp tốc | Bảo vệ 24/7
b2f3427a-0350-4a4c-aeb2-2ec968fd0a59,Minh Toan Galaxy Hotel,2903,false,950000.00,Sân thượng / hiên | Bãi biển | Tour đi bộ | Bàn ghế ngoài trời | Sân hiên phơi nắng
cc3d170a-1cd4-4b25-a9fd-e2c21c88e400,Motel Anh Đào,1387,true,850000.00,Dịch vụ là ủi | Bình chữa cháy | Wi-Fi có ở các phòng khách sạn và miễn phí | Cho thuê xe đạp | Dịch vụ đỗ xe cho khách
7a9987b1-7c6e-4e33-885c-e6c142aa3b5e,Muong Thanh Grand Da Nang Hotel,1373,true,1850000.00,Ghế/ghế dài tắm nắng | Lễ tân 24 giờ | Wi-Fi có ở các phòng khách sạn và miễn phí | Dọn phòng hằng ngày | Hồ bơi vô cực
71e4ec9a-5879-4373-8404-a4d5b4bbf5b7,Nhật Quang House 2,2174,false,850000.00,Giặt khô | Dịch vụ là ủi | Bình chữa cháy | Nhận/trả phòng riêng | Bữa ăn trẻ em
5a3399d7-09d9-4d0e-bcbc-d0227ab9ef93,Oday Stay Boutique Hotel Da Nang - 2 Minutes to Dragon Bridge,1721,true,750000.00,Dọn phòng hằng ngày | Bảo vệ 24/7 | Giặt khô | Hệ thống CCTV trong khu vực chung | Giữ hành lí
81c7fa73-3b01-4f23-b7d1-4034a7cfaa4a,PARIS HOTEL,2199,false,850000.00,Dịch vụ đỗ xe cho khách | Bàn bán tour | Trung tâm Spa & chăm sóc sức khỏe | Bảo vệ 24/7 | Wi-Fi có ở các phòng khách sạn và miễn phí
ad6ee65b-4c16-4332-913c-310851ff2588,Quang Minh Riverside Hotel Danang,1713,true,750000.00,Lễ tân 24 giờ | Dịch vụ là ủi | Bình chữa cháy | Wi-Fi có ở các phòng khách sạn và miễn phí | Thiết bị báo cháy
50bf14f8-8df2-4bd6-9701-4d61d92807ab,Sandy Beach Non Nuoc Resort,633,true,850000.00,Bãi biển | Ghế/ghế dài tắm nắng | Lễ tân 24 giờ | Bữa ăn tự chọn phù hợp với trẻ em | Nhà hàng
b168eb35-6dc2-4aa7-bdd7-eaddae6cbf11,Sheraton Grand Danang Beach Resort & Spa,2006,false,850000.00,Quầy bar | Bãi biển | Hồ bơi có tầm nhìn | Trung tâm Spa & chăm sóc sức khỏe | Quầy bar hồ bơi
a96b56d8-a0bd-4891-948e-66f019d0626d,Sun City Hotel Da Nang,3047,false,650000.00,Bảo vệ 24/7 | Wi-Fi có ở các phòng khách sạn và miễn phí | Hồ bơi vô cực | Ghế/ghế dài tắm nắng | Có xuất hóa đơn
9d036815-21cd-428b-bd17-b9affe7850c5,The BHA Apartment,662,true,850000.00,Lễ tân 24 giờ | Ghế/ghế dài tắm nắng | Hệ thống CCTV bên ngoài chỗ nghỉ | Quầy bar | Bãi biển
adaedf13-14d4-4fa7-b872-5315ac8a5fb9,The Blossom Resort Island Da Nang - Onsen Included,2398,false,2200000.00,Trung tâm Spa & chăm sóc sức khỏe | Quầy bar hồ bơi | Phòng tắm nắng | Phòng tắm chung | Rượu vang/sâm panh
d0d825bb-83e6-4085-94d4-a01eb9c9227d,THHomestay,1631,true,1550000.00,Wi-Fi có ở các phòng khách sạn và miễn phí | Quầy bar hồ bơi | Hệ thống CCTV bên ngoài chỗ nghỉ | Có xuất hóa đơn | Quầy bar
1c4e11c9-b6b8-4a71-ab2f-e1c5049e219d,Thien Han Phat Hotel,4685,false,520000.00,Bình chữa cháy | Giữ hành lí | Dọn phòng hằng ngày | Nhận/trả phòng riêng | Giặt khô
